Gene	Chromosome	Start	End	Strand
ACKR1	chr1	159203307	159206500	+
ACKR2	chr3	42809445	42867286	+
ACKR3	chr2	236567787	236582354	+
ACKR4	chr3	132597270	132602644	+
ACLY	chr17	41866917	41930542	-
ACMSD	chr2	134838616	134902034	+
ACO1	chr9	32384603	32454769	+
ACO2	chr22	41469117	41528989	+
ACOD1	chr13	76948511	76958638	+
ACOT1	chr14	73537143	73543796	+
ACOT11	chr1	54548228	54639192	+
ACOT12	chr5	81329996	81394179	-
ACOT13	chr6	24667035	24705065	+
ACOT2	chr14	73569059	73575658	+
ACOT4	chr14	73591706	73596496	+
ACOT6	chr14	73610945	73619888	+
ACOT7	chr1	6264269	6394391	-
ACOT8	chr20	45841721	45857392	-
ACOT9	chrX	23701055	23766475	-
ACOX1	chr17	75941507	75979177	-
ACOX2	chr3	58505136	58537283	-
ACOX3	chr4	8366282	8440723	-
ACOXL	chr2	110732573	111118548	+
ACP1	chr2	264869	278283	+
ACP2	chr11	47239302	47248906	-
ACP3	chr3	132317369	132368298	+
ACP4	chr19	50790415	50795219	+
ACP5	chr19	11574660	11579008	-
ACP6	chr1	147629652	147670524	-
ACP7	chr19	39084368	39111493	+
ACR	chr22	50738204	50745339	+
ACRBP	chr12	6638075	6647433	-
ACRV1	chr11	125671522	125680874	-
ACSBG1	chr15	78167468	78245688	-
ACSBG2	chr19	6135247	6193094	+
ACSF2	chr17	50426218	50474837	+
ACSF3	chr16	89088375	89156233	+
ACSL1	chr4	184755595	184826818	-
ACSL3	chr2	222860942	222944639	+
ACSL4	chrX	109641335	109733403	-
ACSL5	chr10	112374018	112428380	+
ACSL6	chr5	131949973	132012177	-
ACSM1	chr16	20623237	20698890	-
ACSM2A	chr16	20451461	20487669	+
ACSM2B	chr16	20536226	20576427	-
ACSM3	chr16	20610243	20797581	+
ACSM4	chr12	7304284	7328724	+
ACSM5	chr16	20409534	20441336	+
ACSM6	chr10	95194200	95228928	+
ACSS1	chr20	25006230	25058980	-
ACSS2	chr20	34874942	34927962	+
ACSS3	chr12	80937815	81261210	+
ACTA1	chr1	229431245	229434098	-
ACTA2	chr10	88935074	88991339	-
ACTB	chr7	5526409	5563902	-
ACTBL2	chr5	57480018	57482811	-
ACTC1	chr15	34790230	34795549	-
ACTG1	chr17	81509971	81523847	-
ACTG2	chr2	73892967	73919865	+
ACTL10	chr20	33666498	33668525	+
ACTL6A	chr3	179562886	179588407	+
ACTL6B	chr7	100643097	100656448	-
ACTL7A	chr9	108862266	108863756	+
ACTL7B	chr9	108854588	108855986	-
ACTL8	chr1	17755333	17827063	+
ACTL9	chr19	8697400	8698795	-
ACTN1	chr14	68874128	68979440	-
ACTN2	chr1	236664141	236764631	+
ACTN3	chr11	66546395	66563334	+
ACTN4	chr19	38647649	38731589	+
ACTR10	chr14	58200149	58235636	+
ACTR1A	chr10	102479229	102502712	-
ACTR1B	chr2	97655939	97664044	-
ACTR2	chr2	65227831	65271253	+
ACTR3	chr2	113890063	113962596	+
ACTR3B	chr7	152759749	152855378	+
ACTR3C	chr7	150243916	150323725	-
ACTR5	chr20	38748460	38772520	+
ACTR6	chr12	100199122	100224424	+
ACTR8	chr3	53867066	53882152	-
ACTRT1	chrX	128050962	128052398	-
ACTRT2	chr1	3021467	3022903	+
ACTRT3	chr3	169766921	169769561	-
ACVR1	chr2	157736444	157876330	-
ACVR1B	chr12	51951699	51997078	+
ACVR1C	chr2	157526767	157628864	-
ACVR2A	chr2	147844517	147930826	+
ACVR2B	chr3	38453890	38493142	+
ACVRL1	chr12	51906908	51923361	+
ACY1	chr3	51983443	51989197	+
ACY3	chr11	67642555	67650730	-
ACYP1	chr14	75053237	75069483	-
ACYP2	chr2	53970838	54305300	+
ADA	chr20	44619522	44651699	-
ADA2	chr22	17178790	17258235	-
ADAD1	chr4	122378966	122429802	+
ADAD2	chr16	84191138	84197166	+
ADAL	chr15	43330672	43354569	+
ADAM10	chr15	58588809	58749774	-
ADAM11	chr17	44758988	44781846	+
ADAM12	chr10	126012381	126388455	-
ADAM15	chr1	155051286	155062775	+
ADAM17	chr2	9488486	9555830	-
ADAM18	chr8	39584568	39730065	+
ADAM19	chr5	157477304	157575775	-
ADAM2	chr8	39743735	39838289	-
ADAM20	chr14	70522358	70535015	-
ADAM21	chr14	70452174	70459905	+
ADAM22	chr7	87934143	88202889	+
ADAM23	chr2	206443532	206621127	+
ADAM28	chr8	24294069	24359014	+
ADAM29	chr4	174918358	174978180	+
ADAM30	chr1	119893533	119896515	-
ADAM32	chr8	39106990	39284917	+
ADAM33	chr20	3667970	3682246	-
ADAM7	chr8	24440930	24526970	+
ADAM8	chr10	133262420	133276868	-
ADAM9	chr8	38996869	39105261	+
ADAMDEC1	chr8	24384285	24406013	+
ADAMTS1	chr21	26835755	26845409	-
ADAMTS10	chr19	8580240	8610715	-
ADAMTS12	chr5	33523535	33892019	-
ADAMTS13	chr9	133422000	133459402	+
ADAMTS14	chr10	70672506	70762441	+
ADAMTS15	chr11	130448974	130476641	+
ADAMTS16	chr5	5140330	5320304	+
ADAMTS17	chr15	99971437	100341975	-
ADAMTS18	chr16	77247813	77435034	-
ADAMTS19	chr5	129460298	129738683	+
ADAMTS2	chr5	179110853	179345461	-
ADAMTS20	chr12	43353866	43552203	-
ADAMTS3	chr4	72280969	72569221	-
ADAMTS4	chr1	161184302	161199054	-
ADAMTS5	chr21	26917922	26967088	-
ADAMTS6	chr5	65148738	65481920	-
ADAMTS7	chr15	78759206	78811464	-
ADAMTS8	chr11	130404923	130428609	-
ADAMTS9	chr3	64515654	64688000	-
ADAMTSL1	chr9	17906563	18910950	+
ADAMTSL2	chr9	133532164	133575519	+
ADAMTSL3	chr15	83654088	84039842	+
ADAMTSL4	chr1	150549369	150560937	+
ADAMTSL5	chr19	1505022	1513604	-
ADAP1	chr7	897900	955407	-
ADAP2	chr17	30921917	30959322	+
ADAR	chr1	154582057	154628013	-
ADARB1	chr21	45074580	45226560	+
ADARB2	chr10	1177313	1737525	-
ADAT1	chr16	75596981	75623300	-
ADAT2	chr6	143422832	143450695	-
ADAT3	chr19	1905399	1913447	+
ADCK1	chr14	77800109	77935014	+
ADCK2	chr7	140672945	140696261	+
ADCK5	chr8	144374047	144393242	+
ADCY1	chr7	45574140	45723116	+
ADCY10	chr1	167809386	167914215	-
ADCY2	chr5	7396138	7830081	+
ADCY3	chr2	24819169	24919839	-
ADCY4	chr14	24318349	24335071	-
ADCY5	chr3	123282296	123449090	-
ADCY6	chr12	48766198	48789037	-
ADCY7	chr16	50246137	50318135	+
ADCY8	chr8	130780301	131040909	-
ADCY9	chr16	3953387	4116442	-
ADCYAP1	chr18	904871	912172	+
ADCYAP1R1	chr7	31052308	31111479	+
ADD1	chr4	2843857	2930076	+
ADD2	chr2	70656784	70768212	-
ADD3	chr10	110005804	110135565	+
ADGB	chr6	146598970	146815462	+
ADGRA1	chr10	133070929	133131675	+
ADGRA2	chr8	37784191	37844896	+
ADGRA3	chr4	22387376	22516066	-
ADGRB1	chr8	142449430	142545009	+
ADGRB2	chr1	31727117	31764893	-
ADGRB3	chr6	68635282	69389506	+
ADGRD1	chr12	130953907	131141469	+
ADGRD2	chr9	124452091	124478589	+
ADGRE1	chr19	6887566	6940459	+
ADGRE2	chr19	14732392	14778560	-
ADGRE3	chr19	14619117	14690027	-
ADGRE5	chr19	14381156	14408725	+
ADGRF1	chr6	46997708	47042332	-
ADGRF2	chr6	47656436	47697793	+
ADGRF3	chr2	26308176	26346817	-
ADGRF4	chr6	47685864	47722021	+
ADGRF5	chr6	46852522	46954943	-
ADGRG1	chr16	57610652	57665580	+
ADGRG2	chrX	18989307	19122637	-
ADGRG3	chr16	57668306	57689378	+
ADGRG4	chrX	136300963	136416890	+
ADGRG5	chr16	57542643	57577195	+
ADGRG6	chr6	142301854	142446266	+
ADGRG7	chr3	100609601	100695479	+
ADGRL1	chr19	14147743	14206187	-
ADGRL2	chr1	81306166	81992423	+
ADGRL3	chr4	61201258	62078335	+
ADGRL4	chr1	78889764	79282124	-
ADGRV1	chr5	90529344	91164437	+
ADH1A	chr4	99276369	99290985	-
ADH1B	chr4	99304971	99352760	-
ADH1C	chr4	99336497	99352746	-
ADH4	chr4	99123657	99144297	-
ADH5	chr4	99070978	99088751	-
ADH6	chr4	99202638	99219537	-
ADH7	chr4	99412261	99435737	-
ADHFE1	chr8	66432492	66468907	+
ADI1	chr2	3497366	3519531	-
ADIG	chr20	38581195	38588463	+
ADIPOQ	chr3	186842704	186858463	+
ADIPOR1	chr1	202940832	202958572	-
ADIPOR2	chr12	1691070	1788674	+
ADIRF	chr10	86968432	86970915	+
ADK	chr10	74151202	74709926	+
ADM	chr11	10305073	10307397	+
ADM2	chr22	50481543	50486440	+
ADM5	chr19	49688664	49690575	+
ADNP	chr20	50888916	50931437	-
ADNP2	chr18	80109262	80147523	+
ADO	chr10	62804720	62808479	+
ADORA1	chr1	203090654	203167405	+
ADORA2A	chr22	24423597	24442357	+
ADORA2B	chr17	15944917	15975746	+
ADORA3	chr1	111499429	111503633	-
ADPGK	chr15	72751369	72785846	-
ADPRH	chr3	119579268	119589945	+
ADPRHL1	chr13	113399610	113453524	-
ADPRM	chr17	10697594	10711558	+
ADPRS	chr1	36088892	36093932	+
ADRA1A	chr8	26748150	26867278	-
ADRA1B	chr5	159865080	159973012	+
ADRA1D	chr20	4220630	4249287	-
ADRA2A	chr10	111077029	111080907	+
ADRA2B	chr2	96112876	96116571	-
ADRA2C	chr4	3766348	3768526	+
ADRB1	chr10	114043866	114046904	+
ADRB2	chr5	148825245	148828687	+
ADRB3	chr8	37962990	37966599	-
ADRM1	chr20	62302093	62308862	+
ADSL	chr22	40346500	40390463	+
ADSS1	chr14	104724229	104747310	+
ADSS2	chr1	244408494	244451909	-
ADTRP	chr6	11713523	11807046	-
AEBP1	chr7	44104345	44114562	+
AEBP2	chr12	19404045	19720801	+
AEN	chr15	88621340	88632281	+
AF196969.1	chrX	48521806	48545469	+
AF241726.2	chrX	37349330	38687674	+
AFAP1	chr4	7758714	7939926	-
AFAP1L1	chr5	149271859	149343637	+
AFAP1L2	chr10	114294824	114404756	-
AFDN	chr6	167826922	167972023	+
AFF1	chr4	86935002	87141054	+
AFF2	chrX	148500617	149000663	+
AFF3	chr2	99545419	100142583	-
AFF4	chr5	132875395	132963634	-
AFG1L	chr6	108295054	108526001	+
AFG3L2	chr18	12328944	12377227	-
AFM	chr4	73481745	73504001	+
AFMID	chr17	78187317	78207701	+
AFP	chr4	73436221	73456174	+
AFTPH	chr2	64524305	64593005	+
AGA	chr4	177430774	177442437	-
AGAP1	chr2	235494043	236131800	+
AGAP2	chr12	57723761	57742157	-
AGAP3	chr7	151085867	151144436	+
AGAP4	chr10	45825594	45847757	-
AGAP5	chr10	73674285	73698159	-
AGAP6	chr10	49988318	50010499	+
AGAP9	chr10	47501854	47523638	-
AGBL1	chr15	86079973	87029052	+
AGBL2	chr11	47659591	47715389	-
AGBL3	chr7	134986508	135147963	+
AGBL4	chr1	48532854	50023954	-
AGBL5	chr2	27042364	27070618	+
AGER	chr6	32180968	32184322	-
AGFG1	chr2	227472152	227561214	+
AGFG2	chr7	100539203	100568220	+
AGGF1	chr5	77030404	77065234	+
AGK	chr7	141551278	141655244	+
AGL	chr1	99850361	99924023	+
AGMAT	chr1	15571699	15585051	-
AGMO	chr7	15200317	15562015	-
AGO1	chr1	35869808	35930532	+
AGO2	chr8	140520156	140635633	-
AGO3	chr1	35930718	36072500	+
AGO4	chr1	35808016	35857890	+
AGPAT1	chr6	32168212	32178096	-
AGPAT2	chr9	136673143	136687457	-
AGPAT3	chr21	43865223	43987592	+
AGPAT4	chr6	161129967	161274061	-
AGPAT5	chr8	6708642	6761503	+
AGPS	chr2	177392757	177559299	+
AGR2	chr7	16791811	16833433	-
AGR3	chr7	16859412	16881987	-
AGRN	chr1	1020120	1056118	+
AGRP	chr16	67482571	67483547	-
AGT	chr1	230702523	230714122	-
AGTPBP1	chr9	85546539	85742029	-
AGTR1	chr3	148697784	148743008	+
AGTR2	chrX	116170744	116174974	+
AGTRAP	chr1	11736084	11750771	+
AGXT	chr2	240868824	240880500	+
AGXT2	chr5	34998101	35048135	-
AHCTF1	chr1	246839098	246931948	-
AHCY	chr20	34280268	34311802	-
AHCYL1	chr1	109984765	110023742	+
AHCYL2	chr7	129225023	129430211	+
AHDC1	chr1	27534035	27604177	-
AHI1	chr6	135283532	135497765	-
AHNAK	chr11	62433542	62556235	-
AHNAK2	chr14	104937253	104978374	-
AHR	chr7	17132190	17346150	+
AHRR	chr5	321759	435110	+
AHSA1	chr14	77457870	77469472	+
AHSG	chr3	186613060	186621318	+
AHSP	chr16	31527900	31528803	+
AICDA	chr12	8602170	8612867	-
AIDA	chr1	222668013	222712491	-
AIF1	chr6	31615227	31617021	+
AIF1L	chr9	131096476	131123152	+
AIFM1	chrX	130127453	130165879	-
AIFM2	chr10	70098223	70132934	-
AIFM3	chr22	20965108	20981360	+
